name,address,type,lat,lon
Recycling Bins at Public Place,Wah Shan Tsuen RCP (N-97),Basic,22.515763,114.133725
Recycling Bins at Public Place,"Hung Leng Bridge, Ping Che Road RCP (N-99) at Hung Leng Bridge, Ping Che Road",Basic,22.516462,114.166298
Recycling Bins at Public Place,Tong Hang Tsuen near RCP (N-106),Basic,22.490234,114.147101
Recycling Bins at Public Place,Hok Tau Wai,Basic,22.50296,114.17614
Recycling Bins at Public Place,Tai Po Tin RCP (N-111) at Tai Po Tin,Basic,22.528526,114.155195
Recycling Bins at Public Place,Lin Tong Mei Lion Road (II) RCP (N-120) at Lin Tong Mei Lion Road (II),Basic,22.484828,114.109384
Recycling Bins at Public Place,"Lin Tong Mei,Tong Kung Leng , Lion Road RCP (N-121) at Lin Tong Mei,Tong Kung Leng , Lion Road",Basic,22.486364,114.107646
Recycling Bins at Public Place,Lung Tang Kok RCP (N-123) at Lung Tang Kok,Basic,22.503419,114.103909
Recycling Bins at Public Place,Fu Tei Pai RCP (N-124) at Fu Tei Pai,Basic,22.506741,114.16181
Recycling Bins at Public Place,Leng Pei Tsuen RCP (N-141),Basic,22.515253,114.176922
Recycling Bins at Public Place,Kan Tau Tsuen RCP (N-142) at Kan Tau Tsuen,Basic,22.515833,114.173137
Recycling Bins at Public Place,Kau Liu RCP (N-144) at Kau Liu,Basic,22.541702,114.149882
Recycling Bins at Public Place,Tsz Tong Tsuen (near incinerator) RCP (N-148) at Tsz Tong Tsuen (near incinerator),Basic,22.498622,114.153888
Recycling Bins at Public Place,Mat Wat Tsuen RCP (N-151) at Mat Wat Tsuen,Basic,22.498294,114.151129
Recycling Bins at Public Place,Kai Leng Tsuen RCP (N-152),Basic,22.494953,114.129172
Recycling Bins at Public Place,Tan Chuk Hang RCP (N-157),Basic,22.515332,114.17546
Recycling Bins at Public Place,"Au Ha Tsuen RCP (N-164) at Au Ha Tsuen , STK Rd.,",Basic,22.52888,114.196367
Recycling Bins at Public Place,Ha Ma Tseuk Leng RCP (N-167) at Ha Ma Tseuk Leng,Basic,22.531629,114.203752
Recycling Bins at Public Place,Ma Mei Ha (near Public Toilet) Refuse Collection Point (N-170),Basic,22.51805,114.17415
Recycling Bins at Public Place,Ma Mei Ha Tsuen Refuse Collection Point (N-171),Basic,22.51898,114.17587
Recycling Bins at Public Place,"Tong Kung Leng Vegetable Station, SS RCP (N-173) at Tong Kung Leng Vegetable Station, SS",Basic,22.483333,114.107778
Recycling Bins at Public Place,"Near Wo Hop Shek Tsuen Public Toilet (N-148), Wo Hing Road",Basic,22.48563,114.14679
Recycling Bins at Public Place,"Near Wo Hing Tsuen Carpark, Wo Hing Road (N-175) RCP near Wo Hing Tsuen Carpark, Wo Hing Road",Basic,22.483754,114.144296
Recycling Bins at Public Place,Ng Chau Track ( Ping Che Tsuen ) RCP (N-176) at Ng Chau Track ( Ping Che Tsuen ),Basic,22.525964,114.161676
Recycling Bins at Public Place,Fanling Wai North (near Car Park) RCP (N-177) ,Basic,22.49818,114.135212
Recycling Bins at Public Place,"Site I Sheung Shui VDA carpark, Area3 RCP (N-186)",Basic,22.51109,114.122438
Recycling Bins at Public Place,"Site II Sheung Shui VDA carpark,Area3 RCP (N-188) at Site II Sheung Shui VDA carpark,Area3",Basic,22.512971,114.124981
Recycling Bins at Public Place,Tsung Pak Long near Lamp Post V8561,Basic,22.50393,114.120358
Recycling Bins at Public Place,"Hung Ling Bus Stop, Ping Che Rd., RCP (N-190) at Hung Ling Bus Stop, Ping Che Rd.,",Basic,22.514845,114.166794
Recycling Bins at Public Place,"Ng Uk Tsuen, Kai Leng RCP (N-198) at Ng Uk Tsuen, Kai Leng",Basic,22.49678,114.12702
Recycling Bins at Public Place,Ho Par Village RCP (N-200) at Ho Par Village,Basic,22.514083,114.168847
